Familia,Serie,Metodo_FS,Metrics_Source_File,Pkl_Source_Dir,Features_Source_File,NFeatures,Trivial,MSE_Baseline,MSE_FS,RMSE_Baseline,RMSE_FS,MAE_Baseline,MAE_FS,MAPE_Baseline,MAPE_FS,theil_Baseline,theil_FS,ARV_Baseline,ARV_FS,IA_Baseline,IA_FS,POCID_Baseline,POCID_FS,PctGain
MLP,sunspot,mutualinfo,results/chamados_pct10_fs_mlp_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_mlp_mutualinfo/,results/chamados_pct10_fs_mlp_mutualinfo/selected_features.csv,15.000000,False,370.933536,265.452907,19.222508,16.288295,15.956098,13.200601,38.168940,31.761675,0.413357,0.286548,0.201076,0.149637,0.949751,0.963801,72.857143,73.928571,15.264466
MLP,sunspot,rfembedded,results/chamados_pct10_fs_mlp_rfembedded/metrics.csv,data/result/chamados_pct10_fs_mlp_rfembedded/,results/chamados_pct10_fs_mlp_rfembedded/selected_features.csv,3.000000,False,370.933536,478.420858,19.222508,21.870268,15.956098,17.174082,38.168940,50.878585,0.413357,0.788952,0.201076,0.326296,0.949751,0.927204,72.857143,80.000000,-13.774266
MLP,sunspot,lasso,results/chamados_pct10_fs_mlp_lasso/metrics.csv,data/result/chamados_pct10_fs_mlp_lasso/,results/chamados_pct10_fs_mlp_lasso/selected_features.csv,9.000000,False,370.933536,325.261024,19.222508,18.033068,15.956098,14.102107,38.168940,35.952792,0.413357,0.347514,0.201076,0.171914,0.949751,0.956978,72.857143,71.785714,6.187749
MLP,sunspot,rfecv,results/chamados_pct10_fs_mlp_rfecv/metrics.csv,data/result/chamados_pct10_fs_mlp_rfecv/,results/chamados_pct10_fs_mlp_rfecv/selected_features.csv,4.900000,False,370.933536,323.481352,19.222508,17.925289,15.956098,13.695929,38.168940,36.490152,0.413357,0.454388,0.201076,0.199377,0.949751,0.953833,72.857143,76.428571,6.748441
MLP,windspeedfortaleza,sem_FS,results/baseline_metrics.csv,data/result/chamados_pct10/,,13.000000,False,0.135257,0.135257,0.367736,0.367736,0.279743,0.279743,9.524331,9.524331,0.544635,0.544635,0.225732,0.225732,0.938805,0.938805,65.000000,65.000000,0.000000
MLP,windspeedfortaleza,ftest,results/chamados_pct10_fs_mlp_ftest/metrics.csv,data/result/chamados_pct10_fs_mlp_ftest/,results/chamados_pct10_fs_mlp_ftest/selected_features.csv,13.000000,False,0.135257,0.135257,0.367736,0.367736,0.279743,0.279743,9.524331,9.524331,0.544635,0.544635,0.225732,0.225732,0.938805,0.938805,65.000000,65.000000,0.000000
MLP,windspeedfortaleza,mutualinfo,results/chamados_pct10_fs_mlp_mutualinfo/metrics.csv,data/result/chamados_pct10_fs_mlp_mutualinfo/,results/chamados_pct10_fs_mlp_mutualinfo/selected_features.csv,13.000000,False,0.135257,0.135257,0.367736,0.367736,0.279743,0.279743,9.524331,9.524331,0.544635,0.544635,0.225732,0.225732,0.938805,0.938805,65.000000,65.000000,0.000000
MLP,windspeedfortaleza,rfembedded,results/chamados_pct10_fs_mlp_rfembedded/metrics.csv,data/result/chamados_pct10_fs_mlp_rfembedded/,results/chamados_pct10_fs_mlp_rfembedded/selected_features.csv,3.000000,False,0.135257,0.189794,0.367736,0.435585,0.279743,0.395932,9.524331,14.422929,0.544635,1.215822,0.225732,0.465245,0.938805,0.893615,65.000000,50.714286,-18.450279
MLP,windspeedfortaleza,lasso,results/chamados_pct10_fs_mlp_lasso/metrics.csv,data/result/chamados_pct10_fs_mlp_lasso/,results/chamados_pct10_fs_mlp_lasso/selected_features.csv,4.000000,False,0.135257,0.128214,0.367736,0.358070,0.279743,0.299110,9.524331,10.790627,0.544635,0.692548,0.225732,0.268828,0.938805,0.935013,65.000000,64.285714,2.628666
MLP,windspeedfortaleza,rfecv,results/chamados_pct10_fs_mlp_rfecv/metrics.csv,data/result/chamados_pct10_fs_mlp_rfecv/,results/chamados_pct10_fs_mlp_rfecv/selected_features.csv,11.000000,False,0.135257,0.129549,0.367736,0.359650,0.279743,0.283842,9.524331,9.793795,0.544635,0.574719,0.225732,0.226751,0.938805,0.940073,65.000000,64.285714,2.198964
