Familia,Serie,Metodo_FS,N_Features_Selected,N_Features_Total,Selected_Lag_Names,Frequencia_Selecao,Source_File,Trivial
ARIMA-SVR,airlines,rfecv,18,20,"lag_20,lag_19,lag_18,lag_17,lag_16,lag_15,lag_13,lag_12,lag_11,lag_9,lag_8,lag_7,lag_6,lag_5,lag_4,lag_3,lag_2,lag_1",1/1,results/chamados_v4_fs_arimasvr_rfecv/selected_features_detail.csv,False
ARIMA-SVR,austres,sem_FS,1,1,lag_1,N/A (sem selecao aplicada),results/chamados_v4_fs_arimasvr_ftest/selected_features_detail.csv,True
ARIMA-SVR,austres,ftest,1,1,lag_1,1/1,results/chamados_v4_fs_arimasvr_ftest/selected_features_detail.csv,True
ARIMA-SVR,austres,mutualinfo,1,1,lag_1,1/1,results/chamados_v4_fs_arimasvr_mutualinfo/selected_features_detail.csv,True
ARIMA-SVR,austres,rfembedded,1,1,lag_1,1/1,results/chamados_v4_fs_arimasvr_rfembedded/selected_features_detail.csv,True
ARIMA-SVR,austres,lasso,1,1,lag_1,1/1,results/chamados_v4_fs_arimasvr_lasso/selected_features_detail.csv,True
ARIMA-SVR,austres,rfecv,1,1,lag_1,1/1,results/chamados_v4_fs_arimasvr_rfecv/selected_features_detail.csv,True
ARIMA-SVR,coloradoRiver,sem_FS,16,16,"lag_16,lag_15,lag_14,lag_13,lag_12,lag_11,lag_10,lag_9,lag_8,lag_7,lag_6,lag_5,lag_4,lag_3,lag_2,lag_1",N/A (sem selecao aplicada),results/chamados_v4_fs_arimasvr_ftest/selected_features_detail.csv,False
ARIMA-SVR,coloradoRiver,ftest,9,16,"lag_16,lag_13,lag_11,lag_10,lag_9,lag_8,lag_6,lag_3,lag_2",1/1,results/chamados_v4_fs_arimasvr_ftest/selected_features_detail.csv,False
ARIMA-SVR,coloradoRiver,mutualinfo,1,16,lag_12,1/1,results/chamados_v4_fs_arimasvr_mutualinfo/selected_features_detail.csv,False
ARIMA-SVR,coloradoRiver,rfembedded,4,16,"lag_13,lag_12,lag_11,lag_1",1/1,results/chamados_v4_fs_arimasvr_rfembedded/selected_features_detail.csv,False
ARIMA-SVR,coloradoRiver,lasso,1,16,lag_11,1/1,results/chamados_v4_fs_arimasvr_lasso/selected_features_detail.csv,False
ARIMA-SVR,coloradoRiver,rfecv,9,16,"lag_14,lag_13,lag_12,lag_11,lag_10,lag_9,lag_3,lag_2,lag_1",1/1,results/chamados_v4_fs_arimasvr_rfecv/selected_features_detail.csv,False
ARIMA-SVR,sunspot,sem_FS,9,9,"lag_9,lag_8,lag_7,lag_6,lag_5,lag_4,lag_3,lag_2,lag_1",N/A (sem selecao aplicada),results/chamados_v4_fs_arimasvr_ftest/selected_features_detail.csv,False
ARIMA-SVR,sunspot,ftest,1,9,lag_9,1/1,results/chamados_v4_fs_arimasvr_ftest/selected_features_detail.csv,False
ARIMA-SVR,sunspot,mutualinfo,9,9,"lag_9,lag_8,lag_7,lag_6,lag_5,lag_4,lag_3,lag_2,lag_1",1/1,results/chamados_v4_fs_arimasvr_mutualinfo/selected_features_detail.csv,False
ARIMA-SVR,sunspot,rfembedded,4,9,"lag_9,lag_4,lag_2,lag_1",1/1,results/chamados_v4_fs_arimasvr_rfembedded/selected_features_detail.csv,False
ARIMA-SVR,sunspot,lasso,2,9,"lag_9,lag_4",1/1,results/chamados_v4_fs_arimasvr_lasso/selected_features_detail.csv,False
ARIMA-SVR,sunspot,rfecv,4,9,"lag_9,lag_4,lag_2,lag_1",1/1,results/chamados_v4_fs_arimasvr_rfecv/selected_features_detail.csv,False
